code,label
"#include <iostream>\nint main() {\nfor (int i = 0; i <= 10; i++) {\nstd::cout << i << std::endl;\n}\nreturn 0;\n}",logic_error
"#include <iostream>\nint main() {\nint x = 5;\nx++;\nstd::cout << x << std::endl;\nreturn 0;\n}",no_error
"#include <iostream>\nint main() {\nint array[5];\nstd::cout << array[5] << std::endl;\nreturn 0;\n}",runtime_error
"#include <iostream>\nint main() {\nstd::cout << \"Valid code\" << std::endl;\nreturn 0;\n}",no_error
"#include <iostream>\nint main() {\nint x = 5;\nx + ;\nstd::cout << x << std::endl;\nreturn 0;\n}",syntax_error
"#include <iostream>\nint main() {\ninteger x = 10;\nstd::cout << x << std::endl;\nreturn 0;\n}",syntax_error
"#include <iostream>\nint main() {\nint* p = nullptr;\nstd::cout << *p << std::endl;\nreturn 0;\n}",runtime_error
"#include <iostream>\nint main() {\nstd::cout << \"Hello World!\" << std::endl;\nreturn 0;\n}",no_error
"#include <iostream>\nint main() {\nint a = 5;\nint b = 0;\nstd::cout << a / b << std::endl;\nreturn 0;\n}",logic_error
"#include <iostream>\nint main() {\nint x = 10;\nif (x = 5) {\nstd::cout << \"x is 5\";\n}\nreturn 0;\n}",logic_error
"#include <iostream>\nint main() {\nint x = 10;\nstd::cout << x / 0 << std::endl;\nreturn 0;\n}",logic_error
"#include <iostream>\nint main() {\nstd::cout << \"This is valid!\" << std::endl;\nreturn 0;\n}",no_error
"#include <iostream>\nint main() {\nfor(int i = 0; i < 5; i++)\nstd::cout << i;\nreturn 0;\n}",no_error
"#include <iostream>\nint main() {\nint a = 10;\nint b = a / 0;\nstd::cout << b << std::endl;\nreturn 0;\n}",logic_error
"#include <iostream>\nint main() {\ndouble a = 3.14;\ndouble b = 2.71;\ndouble c = a * b;\nst::cout << c << std::endl;\nreturn 0;\n}",syntax_error
"#include <iostream>\nint main() {\nstd::cout << \"Check this out!\" << std::endl;\nreturn 0;\n}",no_error
"#include <iostream>\nint main() {\nint arr[3] = {1, 2, 3};\nstd::cout << arr[3] << std::endl;\nreturn 0;\n}",runtime_error
"#include <iostream>\nint main() {\nint x;\nif (1 == x) {\nstd::cout << \"True\";\n}\nreturn 0;\n}",no_error
"#include <iostream>\nint main() {\nstd::cout << \"This should work!\" << std::endl;\nreturn 0;\n}",no_error
"#include <iostream>\nint main() {\nint n = 0;\nstd::cout << 10 / n << std::endl;\nreturn 0;\n}",logic_error
"#include <iostream>\nint main() {\nfloat x = 1.0;\nstd::cout << x << std::endl;\nreturn 0;\n}",no_error
"#include <iostream>\nint main() {\nstd::cout << \"Perfect run!\" << std::endl;\nreturn 0;\n}",no_error
"#include <iostream>\nint main() {\nint* ptr = nullptr;\nstd::cout << *ptr << std::endl;\nreturn 0;\n}",runtime_error
"#include <iostream>\nint main() {\nstd::cout << \"No issues here!\" << std::endl;\nreturn 0;\n}",no_error
