code,label
"#include \nint main() {\nstd::cout << \"Hello, World!\" << std::endl;\nreturn 0;\n}", "0"
"#include \nint main() {\nstd::cout << \"Hello, World!\" << std::endl;\nreturn 0", "1"
"#include \nint main() {\nint a = 5;\nint b = 0;\nstd::cout << a / b << std::endl;\nreturn 0;\n}", "2"
"#include \nint main() {\nstd::cout << \"Hello, World!\" << std::endl;\nreturn 0;\n}", "0"
"#include \nint main() {\nint a = 5;\nint b = 10;\nstd::cout << a + b << std::endl;\nreturn 0;\n}", "0"
"#include \nint main() {\nint a = 5;\nint b = 10;\nstd::cout << a + b << std::endl;\nreturn 0", "1"
"#include \nint main() {\nint a = 5;\nint b = 0;\nstd::cout << a / b << std::endl;\nreturn 0;\n}", "2"
"#include \nint main() {\nint a = 5;\nint b = 10;\nstd::cout << a * b << std::endl;\nreturn 0;\n}", "0"
"#include \nint main() {\nint a = 5;\nint b = 10;\nstd::cout << a + b << std::endl;\nreturn 0;\n}", "0"
"#include \nint main() {\nint a = 5;\nint b = 10;\nstd::cout << a - b << std::endl;\nreturn 0;\n}", "0"
"#include \nint main() {\nint a = 5;\nint b = 10;\nstd::cout << a / 0 << std::endl;\nreturn 0;\n}", "2"
"#include \nint main() {\nint a = 5;\nint b = 10;\nstd::cout << a + b << std::endl;\nreturn 0;\n}", "0"
"#include \nint main() {\nint a = 5;\nint b = 10;\nstd::cout << a + b << std::endl;\nreturn 0;\n}", "0"
"#include \nint main() {\nint a = 5;\nint b = 10;\nstd::cout << a + b << std::endl;\nreturn 0;\n}", "0"
"#include \nint main() {\nint a = 5;\nint b = 10;\nstd::cout << a + b << std::endl;\nreturn 0;\n}", "0"
"#include \nint main() {\nint a = 5;\nint b = 10;\nstd::cout << a + b << std::endl;\nreturn 0;\n}", "0"
"#include \nint main() {\nint a = 5;\nint b = 10;\nstd::cout << a + b << std::endl;\nreturn 0;\n}", "0"
"#include \nint main() {\nint a = 5;\nint b = 10;\nstd::cout << a + b << std::endl;\nreturn 0;\n}", "0"
"#include \nint main() {\nint a = 5;\nint b = 10;\nstd::cout << a + b << std::endl;\nreturn 0;\n}", "0"
"#include \nint main() {\nint a = 5;\nint b = 10;\nstd::cout << a + b << std::endl;\nreturn 0;\n}", "0"
